Date,Adj_Close
1/3/2017,3.25
1/4/2017,3.2
1/5/2017,3.25
1/6/2017,3.3
1/9/2017,3.3
1/10/2017,3.45
1/11/2017,3.4
1/12/2017,3.25
1/13/2017,3.2
1/17/2017,3.075
1/18/2017,3
1/19/2017,3.05
1/20/2017,3.15
1/23/2017,3.1
1/24/2017,3.05
1/25/2017,3.175
1/26/2017,3.2
1/27/2017,3.15
1/30/2017,3.1
1/31/2017,3.1
2/1/2017,3.05
2/2/2017,3.1
2/3/2017,3.1
2/6/2017,3.1
2/7/2017,3.15
2/8/2017,3.2
2/9/2017,3.2
2/10/2017,3.25
2/13/2017,3.35
2/14/2017,3.55
2/15/2017,3.55
2/16/2017,3.5
2/17/2017,3.5
2/21/2017,3.5
2/22/2017,3.4
2/23/2017,3.35
2/24/2017,3.25
2/27/2017,3.3
2/28/2017,3.45
3/1/2017,3.5
3/2/2017,3.5
3/3/2017,3.58
3/6/2017,3.75
3/7/2017,4
3/8/2017,4.3
3/9/2017,4.45
3/10/2017,4.35
3/13/2017,4.6
3/14/2017,4.45
3/15/2017,4.55
3/16/2017,4.45
3/17/2017,4.55
3/20/2017,4.4
3/21/2017,4.3
3/22/2017,4.45
3/23/2017,4.2
3/24/2017,4.3
3/27/2017,4.25
3/28/2017,4.25
3/29/2017,4.25
3/30/2017,4.25
3/31/2017,4.25
4/3/2017,4.4
4/4/2017,4.5
4/5/2017,4.6
4/6/2017,4.6
4/7/2017,4.65
4/10/2017,4.6
4/11/2017,4.5
4/12/2017,4.5
4/13/2017,4.55
4/17/2017,4.55
4/18/2017,4.45
4/19/2017,4.5
4/20/2017,4.4
4/21/2017,3.85
4/24/2017,4
4/25/2017,4
4/26/2017,3.9
4/27/2017,3.9
4/28/2017,3.7
5/1/2017,3.8
5/2/2017,3.6
5/3/2017,3.55
5/4/2017,3.6
5/5/2017,3.5
5/8/2017,3.75
5/9/2017,3.95
5/10/2017,3.8
5/11/2017,3.8
5/12/2017,3.75
5/15/2017,3.7
5/16/2017,3.6
5/17/2017,3.65
5/18/2017,3.75
5/19/2017,3.9
5/22/2017,3.95
5/23/2017,4.05
5/24/2017,4
5/25/2017,3.8
5/26/2017,3.7
5/30/2017,3.65
5/31/2017,3.85
6/1/2017,4.1
6/2/2017,4.55
6/5/2017,4.55
6/6/2017,4.35
6/7/2017,4.25
6/8/2017,4.1
6/9/2017,4.3
6/12/2017,4.33
6/13/2017,4.2
6/14/2017,3.75
6/15/2017,5.75
6/16/2017,5.2
6/19/2017,5.1
6/20/2017,4.83
6/21/2017,4.95
6/22/2017,5.3
6/23/2017,5.4
6/26/2017,5.2
6/27/2017,5
6/28/2017,5.2
6/29/2017,5.05
6/30/2017,5.2
7/3/2017,5.3
7/5/2017,5.55
7/6/2017,5.55
7/7/2017,5.5
7/10/2017,5.6
7/11/2017,5.4
7/12/2017,5.45
7/13/2017,5.35
7/14/2017,5.3
7/17/2017,5.25
7/18/2017,5.1
7/19/2017,5.1
7/20/2017,4.65
7/21/2017,4.8
7/24/2017,4.75
7/25/2017,4.75
7/26/2017,4.6
7/27/2017,4.35
7/28/2017,4.7
7/31/2017,4.6
8/1/2017,4.45
8/2/2017,4.35
8/3/2017,4.35
8/4/2017,4.6
8/7/2017,4.6
8/8/2017,4.6
8/9/2017,4.55
8/10/2017,4.5
8/11/2017,4.8
8/14/2017,4.85
8/15/2017,4.7
8/16/2017,4.6
8/17/2017,4.55
8/18/2017,4.6
8/21/2017,4.85
8/22/2017,5.3
8/23/2017,5.25
8/24/2017,5.35
8/25/2017,5.35
8/28/2017,5.2
8/29/2017,5.15
8/30/2017,5.4
8/31/2017,5.45
9/1/2017,5.5
9/5/2017,5.65
9/6/2017,5.5
9/7/2017,5.4
9/8/2017,5.45
9/11/2017,5.5
9/12/2017,5.4
9/13/2017,5.3
9/14/2017,5.2
9/15/2017,5.15
9/18/2017,5.15
9/19/2017,5.1
9/20/2017,5.2
9/21/2017,5.2
9/22/2017,5.25
9/25/2017,5.3
9/26/2017,5.25
9/27/2017,5.28
9/28/2017,5.3
9/29/2017,5.23
10/2/2017,5.25
10/3/2017,5.18
10/4/2017,5.2
10/5/2017,5.38
10/6/2017,5.28
10/9/2017,5.25
10/10/2017,5.13
10/11/2017,5.2
10/12/2017,5.1
10/13/2017,4.8
10/16/2017,4.75
10/17/2017,4.95
10/18/2017,5.05
10/19/2017,5.25
10/20/2017,5.35
10/23/2017,5.65
10/24/2017,5.4
10/25/2017,5.45
10/26/2017,5.4
10/27/2017,5.4
10/30/2017,5.2
10/31/2017,5.2
11/1/2017,5.05
11/2/2017,5.2
11/3/2017,5.2
11/6/2017,5.15
11/7/2017,4.9
11/8/2017,4.8
11/9/2017,4.7
11/10/2017,4.75
11/13/2017,4.55
11/14/2017,4.65
11/15/2017,4.3
11/16/2017,4.15
11/17/2017,4.2
11/20/2017,4.2
11/21/2017,4.05
11/22/2017,4.05
11/24/2017,4.2
11/27/2017,4
11/28/2017,3.8
11/29/2017,3.5
11/30/2017,3.8
12/1/2017,4.05
12/4/2017,4
12/5/2017,4.75
12/6/2017,4.7
12/7/2017,4.65
12/8/2017,4.6
12/11/2017,4.4
12/12/2017,4.25
12/13/2017,4.4
12/14/2017,4.4
12/15/2017,4.4
12/18/2017,4.45
12/19/2017,4.3
12/20/2017,4.55
12/21/2017,4.3
12/22/2017,4.45
12/26/2017,4.45
12/27/2017,4.25
12/28/2017,4.3
12/29/2017,4.4
1/2/2018,4.55
1/3/2018,4.75
1/4/2018,4.85
1/5/2018,4.75
1/8/2018,4.7
1/9/2018,4.5
1/10/2018,4.4
1/11/2018,4.45
1/12/2018,4.425
1/16/2018,4.15
1/17/2018,4.1
1/18/2018,4.2
1/19/2018,4.35
1/22/2018,4.15
1/23/2018,4.15
1/24/2018,4.05
1/25/2018,4.05
1/26/2018,3.9
1/29/2018,3.8
1/30/2018,3.65
1/31/2018,3.65
2/1/2018,3.6
2/2/2018,3.8
2/5/2018,3.6
2/6/2018,3.6
2/7/2018,3.5
2/8/2018,3.7
2/9/2018,3.55
2/12/2018,3.625
