Date,Adj_Close
4/10/2014,14.01
4/11/2014,13
4/14/2014,13.6
4/15/2014,13.39
4/16/2014,13.2
4/17/2014,13.01
4/21/2014,14.14
4/22/2014,15.25
4/23/2014,15.01
4/24/2014,15.98
4/25/2014,15.69
4/28/2014,15.94
4/29/2014,16
4/30/2014,18.45
5/1/2014,20.07
5/2/2014,20.01
5/5/2014,20
5/6/2014,20
5/7/2014,19.96
5/8/2014,19.37
5/9/2014,19.23
5/12/2014,19.15
5/13/2014,19.5
5/14/2014,19.37
5/15/2014,18.95
5/16/2014,18.76
5/19/2014,18.26
5/20/2014,18.88
5/21/2014,18.82
5/22/2014,18.76
5/23/2014,18.49
5/27/2014,18.5
5/28/2014,18.16
5/29/2014,18.06
5/30/2014,17.85
6/2/2014,17.87
6/3/2014,17.97
6/4/2014,17.57
6/5/2014,18.29
6/6/2014,18.83
6/9/2014,19.35
6/10/2014,19.47
6/11/2014,19.32
6/12/2014,19.65
6/13/2014,18.72
6/16/2014,18.87
6/17/2014,19.5
6/18/2014,19.59
6/19/2014,19.48
6/20/2014,19.21
6/23/2014,19.31
6/24/2014,19.42
6/25/2014,19.41
6/26/2014,18.65
6/27/2014,17.71
6/30/2014,18.28
7/1/2014,18.46
7/2/2014,18.36
7/3/2014,17.97
7/7/2014,17.3
7/8/2014,17.02
7/9/2014,16.69
7/10/2014,16.08
7/11/2014,16.72
7/14/2014,16.2
7/15/2014,17.34
7/16/2014,16.87
7/17/2014,16.78
7/18/2014,17.52
7/21/2014,16.5
7/22/2014,16.66
7/23/2014,16.77
7/24/2014,16.92
7/25/2014,16.65
7/28/2014,16.21
7/29/2014,16.09
7/30/2014,16.07
7/31/2014,15.91
8/1/2014,16.09
8/4/2014,16.02
8/5/2014,16.09
8/6/2014,16.19
8/7/2014,15.71
8/8/2014,15.57
8/11/2014,16.11
8/12/2014,16.49
8/13/2014,16.79
8/14/2014,16.8
8/15/2014,17.45
8/18/2014,17.59
8/19/2014,17.96
8/20/2014,17.93
8/21/2014,18.37
8/22/2014,17.83
8/25/2014,17.77
8/26/2014,18.2
8/27/2014,18.19
8/28/2014,17.99
8/29/2014,18.74
9/2/2014,18.4
9/3/2014,17.89
9/4/2014,17.35
9/5/2014,17.91
9/8/2014,17.99
9/9/2014,17.83
9/10/2014,17.86
9/11/2014,17.99
9/12/2014,18.12
9/15/2014,17.55
9/16/2014,18.06
9/17/2014,17.88
9/18/2014,17.76
9/19/2014,17.7
9/22/2014,16.85
9/23/2014,16.29
9/24/2014,16.9
9/25/2014,17.02
9/26/2014,16.94
9/29/2014,17.24
9/30/2014,18.62
10/1/2014,19.98
10/2/2014,20
