Date,Adj_Close
1/3/2017,3.5
1/4/2017,3.65
1/5/2017,3
1/6/2017,2.75
1/9/2017,2.75
1/10/2017,2.65
1/11/2017,2.45
1/12/2017,2.45
1/13/2017,2.55
1/17/2017,2.9
1/18/2017,2.7
1/19/2017,2.75
1/20/2017,2.7
1/23/2017,2.55
1/24/2017,2.55
1/25/2017,2.6
1/26/2017,2.6
1/27/2017,2.55
1/30/2017,2.6
1/31/2017,3.15
2/1/2017,3.1
2/2/2017,3.05
2/3/2017,2.95
2/6/2017,2.85
2/7/2017,2.85
2/8/2017,2.8
2/9/2017,2.95
2/10/2017,3.05
2/13/2017,3.3
2/14/2017,3.3
2/15/2017,3.35
2/16/2017,3.35
2/17/2017,3.35
2/21/2017,3.15
2/22/2017,3.1
2/23/2017,3.15
2/24/2017,3
2/27/2017,3.05
2/28/2017,3.05
3/1/2017,3
3/2/2017,3.1
3/3/2017,3
3/6/2017,3.05
3/7/2017,3.1
3/8/2017,3.1
3/9/2017,3.1
3/10/2017,3.05
3/13/2017,3
3/14/2017,2.9
3/15/2017,3
3/16/2017,2.95
3/17/2017,3
3/20/2017,2.9
3/21/2017,2.8
3/22/2017,2.7
3/23/2017,2.75
3/24/2017,2.9
3/27/2017,3
3/28/2017,2.95
3/29/2017,2.9
3/30/2017,3.05
3/31/2017,3
4/3/2017,3
4/4/2017,3.05
4/5/2017,2.95
4/6/2017,2.9
4/7/2017,2.95
4/10/2017,2.95
4/11/2017,3
4/12/2017,2.95
4/13/2017,2.98
4/17/2017,3
4/18/2017,2.8
4/19/2017,3
4/20/2017,2.95
4/21/2017,2.95
4/24/2017,3.05
4/25/2017,3.1
4/26/2017,3.1
4/27/2017,3.05
4/28/2017,3.35
5/1/2017,1.35
5/2/2017,0.9
5/3/2017,0.99
5/4/2017,0.94
5/5/2017,0.89
5/8/2017,0.9
5/9/2017,0.84
5/10/2017,0.84
5/11/2017,0.85
5/12/2017,0.84
5/15/2017,0.85
5/16/2017,0.88
5/17/2017,0.85
5/18/2017,0.85
5/19/2017,0.86
5/22/2017,0.86
5/23/2017,0.88
5/24/2017,0.89
5/25/2017,0.96
5/26/2017,1.18
5/30/2017,1.09
5/31/2017,1.11
6/1/2017,1.07
6/2/2017,1.03
6/5/2017,1.06
6/6/2017,1.07
6/7/2017,1.09
6/8/2017,1.07
6/9/2017,1.08
6/12/2017,1.04
6/13/2017,1.03
6/14/2017,1.03
6/15/2017,1.02
6/16/2017,0.97
