Date,Adj_Close
1/3/2017,4.16
1/4/2017,4.33
1/5/2017,4.3
1/6/2017,4.32
1/9/2017,4.15
1/10/2017,4.11
1/11/2017,3.99
1/12/2017,4.07
1/13/2017,4.09
1/17/2017,3.95
1/18/2017,4
1/19/2017,3.81
1/20/2017,3.77
1/23/2017,3.78
1/24/2017,3.79
1/25/2017,3.76
1/26/2017,3.72
1/27/2017,3.8
1/30/2017,3.69
1/31/2017,4
2/1/2017,3.92
2/2/2017,3.92
2/3/2017,4.12
2/6/2017,4.21
2/7/2017,3.99
2/8/2017,3.96
2/9/2017,4.04
2/10/2017,4.09
2/13/2017,4.12
2/14/2017,4.4
2/15/2017,4.47
2/16/2017,4.23
2/17/2017,4.51
2/21/2017,4.54
2/22/2017,3.8
2/23/2017,3.83
2/24/2017,3.85
2/27/2017,4.22
2/28/2017,4.24
3/1/2017,4.24
3/2/2017,4.16
3/3/2017,4.11
3/6/2017,4.02
3/7/2017,3.88
3/8/2017,3.97
3/9/2017,4.06
3/10/2017,4.13
3/13/2017,4.2
3/14/2017,3.98
3/15/2017,4.2
3/16/2017,4.16
3/17/2017,4.04
3/20/2017,4.1
3/21/2017,3.85
3/22/2017,3.87
3/23/2017,3.92
3/24/2017,3.88
3/27/2017,4.02
3/28/2017,3.92
3/29/2017,3.92
3/30/2017,3.84
3/31/2017,3.77
4/3/2017,3.66
4/4/2017,3.56
4/5/2017,3.44
4/6/2017,3.35
4/7/2017,3.38
4/10/2017,3.27
4/11/2017,3.24
4/12/2017,3.24
4/13/2017,3.47
4/17/2017,3.44
4/18/2017,3.41
4/19/2017,3.39
4/20/2017,3.52
4/21/2017,3.52
4/24/2017,3.6
4/25/2017,3.7
4/26/2017,3.72
4/27/2017,3.68
4/28/2017,3.59
5/1/2017,3.7
5/2/2017,3.57
5/3/2017,3.42
5/4/2017,4.08
5/5/2017,3.78
5/8/2017,3.69
5/9/2017,3.78
5/10/2017,3.8
5/11/2017,3.74
5/12/2017,3.69
5/15/2017,3.7
5/16/2017,3.65
5/17/2017,3.55
5/18/2017,3.61
5/19/2017,3.46
5/22/2017,3.4
5/23/2017,3.53
5/24/2017,3.56
5/25/2017,3.5
5/26/2017,3.45
5/30/2017,3.37
5/31/2017,3.32
6/1/2017,3.44
6/2/2017,3.5
6/5/2017,3.4
6/6/2017,3.39
6/7/2017,3.32
6/8/2017,3.33
6/9/2017,3.36
6/12/2017,3.51
6/13/2017,3.46
6/14/2017,3.49
