Date,Adj_Close
7/24/2013,31.28
7/25/2013,27.78
7/26/2013,28.53
7/29/2013,28.64
7/30/2013,29.1
7/31/2013,29.16
8/1/2013,29.15
8/2/2013,28.84
8/5/2013,28.8
8/6/2013,28.96
8/7/2013,29.67
8/8/2013,29.85
8/9/2013,30
8/12/2013,30.48
8/13/2013,31.37
8/14/2013,32.77
8/15/2013,32.18
8/16/2013,31.91
8/19/2013,29.11
8/20/2013,26.76
8/21/2013,24.79
8/22/2013,25.47
8/23/2013,25.87
8/26/2013,25.6
8/27/2013,22.65
8/28/2013,23.1
8/29/2013,24.87
8/30/2013,23.58
9/3/2013,23.58
9/4/2013,25.44
9/5/2013,27.1
9/6/2013,27.08
9/9/2013,26.79
9/10/2013,27.72
9/11/2013,27.13
9/12/2013,26.93
9/13/2013,26.55
9/16/2013,26.9
9/17/2013,26.07
9/18/2013,27.12
9/19/2013,27.66
9/20/2013,26.71
9/23/2013,26.09
9/24/2013,25.78
9/25/2013,26.95
9/26/2013,27.44
9/27/2013,27.86
9/30/2013,27.96
10/1/2013,28.75
10/2/2013,30.04
10/3/2013,32.25
10/4/2013,33.18
10/7/2013,30.79
10/8/2013,28.97
10/9/2013,25.15
10/10/2013,25.16
10/11/2013,24.76
10/14/2013,26.23
10/15/2013,26.43
10/16/2013,27.42
10/17/2013,28.4
10/18/2013,28.52
10/21/2013,28.8
10/22/2013,26.708
10/23/2013,27.3
10/24/2013,27.72
10/25/2013,26.52
10/28/2013,25.04
10/29/2013,25.68
10/30/2013,24.53
10/31/2013,23.16
11/1/2013,23
11/4/2013,23.84
11/5/2013,24.3
11/6/2013,22
11/7/2013,19.46
11/8/2013,19.85
11/11/2013,20.89
11/12/2013,20.09
11/13/2013,21.5
11/14/2013,19
11/15/2013,17.6
11/18/2013,17
11/19/2013,17.06
11/20/2013,16.98
11/21/2013,17.98
11/22/2013,17.85
11/25/2013,16.06
11/26/2013,17.23
11/27/2013,17.755
11/29/2013,17.55
12/2/2013,17.28
12/3/2013,17.82
12/4/2013,18.01
12/5/2013,18.04
12/6/2013,18.86
12/9/2013,19.11
12/10/2013,18.67
12/11/2013,18.19
12/12/2013,19.42
12/13/2013,19.57
12/16/2013,24.05
12/17/2013,22.396
12/18/2013,21.91
12/19/2013,21.79
12/20/2013,21.77
12/23/2013,22.84
12/24/2013,23.08
12/26/2013,24.32
12/27/2013,24.5
12/30/2013,24.44
12/31/2013,23.95
1/2/2014,24.02
1/3/2014,22.97
1/6/2014,22.51
1/7/2014,24
1/8/2014,25.03
1/9/2014,26.64
1/10/2014,27.37
1/13/2014,30.36
1/14/2014,35.58
1/15/2014,42.19
1/16/2014,39.85
1/17/2014,35.93
1/21/2014,32
1/22/2014,29.86
1/23/2014,31.04
1/24/2014,28.34
1/27/2014,27.43
1/28/2014,28.12
1/29/2014,27.04
1/30/2014,28.336
1/31/2014,26.45
2/3/2014,26.15
2/4/2014,27.8
2/5/2014,26.94
2/6/2014,28.84
2/7/2014,28.45
2/10/2014,31.33
2/11/2014,31.34
2/12/2014,31.19
2/13/2014,32.45
2/14/2014,32.02
2/18/2014,34.46
2/19/2014,32.25
2/20/2014,32.56
2/21/2014,31.97
2/24/2014,30.31
2/25/2014,30.19
2/26/2014,31.35
2/27/2014,33.48
2/28/2014,31.26
3/3/2014,29.48
3/4/2014,30.95
3/5/2014,31.64
3/6/2014,39.93
3/7/2014,45.45
3/10/2014,46.74
3/11/2014,42.96
3/12/2014,43.44
3/13/2014,43.97
3/14/2014,43.4
3/17/2014,41.77
3/18/2014,43.66
3/19/2014,44.1
3/20/2014,45.7
3/21/2014,44.46
3/24/2014,37.47
3/25/2014,37.56
3/26/2014,36.24
3/27/2014,36.56
3/28/2014,37.02
3/31/2014,39.15
4/1/2014,37.38
4/2/2014,36.58
4/3/2014,35.16
4/4/2014,35.48
4/7/2014,45.35
4/8/2014,46.9
4/9/2014,48.42
4/10/2014,44.84
4/11/2014,43.32
