price_date,open_price,high_price,low_price,close_price,adj_close_price,volume
1/3/2000,15.75,16.5,14,16.44,1.2523,602150
1/4/2000,16.12,16.25,14.25,15.94,1.2142,355200
1/5/2000,15.81,16.37,15.75,16,1.2188,282417
1/6/2000,15.88,16,15.56,15.69,1.1952,202417
1/7/2000,15.88,16.25,15.5,16.12,1.228,1295750
1/10/2000,16.25,17,15.88,16.94,1.2904,912550
1/11/2000,17,18.25,16.88,17.69,1.3476,892550
1/12/2000,17.25,17.25,16.37,16.94,1.2904,224017
1/13/2000,16.88,17.25,16.5,17.12,1.3041,272267
1/14/2000,16.88,17.12,16.69,16.94,1.2904,212817
1/18/2000,17,17.44,16.94,17,1.295,205067
1/19/2000,17.12,17.12,16.69,16.75,1.2759,299467
1/20/2000,16.63,17,15.62,15.81,1.2043,444967
1/21/2000,15.78,15.81,14.87,15.13,1.1525,955033
1/24/2000,15.03,15.19,14.75,15,1.1426,421350
1/25/2000,15.13,15.13,13.59,14.5,1.1046,509433
1/26/2000,14.75,16.5,14.5,15.88,1.2097,978833
1/27/2000,17.25,17.62,16.25,17.19,1.3095,779033
1/28/2000,16.75,17,16.12,16.37,1.247,242833
1/31/2000,16.56,16.63,15.5,15.62,1.1899,122400
2/1/2000,15.78,17.5,15.75,16.88,1.2859,192967
2/2/2000,17,17.69,16.5,17.38,1.3239,515567
2/3/2000,17.44,17.62,17.19,17.56,1.3377,541767
2/4/2000,17.53,17.56,15,15.75,1.1998,2108267
2/7/2000,15.13,15.31,14.94,15,1.1426,856633
2/8/2000,15.13,15.25,14.25,14.75,1.1236,603750
2/9/2000,14.75,14.94,14.38,14.53,1.1068,210833
2/10/2000,14.87,14.87,14.38,14.44,1.1,216633
2/11/2000,14.75,15,14.56,14.87,1.1327,148967
2/14/2000,14.87,15,14.25,14.38,1.0954,180367
2/15/2000,14.56,14.56,14,14,1.0665,206233
2/16/2000,14.38,14.69,14,14.02,1.068,235033
2/17/2000,14.38,14.56,14,14.03,1.0687,203200
2/18/2000,14.25,14.5,12.62,13.5,1.0284,464550
2/22/2000,13.5,13.81,13.06,13.37,1.0185,116433
2/23/2000,13.5,13.5,12.88,13.06,0.9949,106150
2/24/2000,13.25,13.25,12.75,13.12,0.9994,133617
2/25/2000,13.25,13.25,12.62,12.75,0.9712,248800
