Date,Adj_Close
10/3/2014,15.55
10/6/2014,14.85
10/7/2014,14.68
10/8/2014,14.55
10/9/2014,14.39
10/10/2014,14.12
10/13/2014,13.52
10/14/2014,13.62
10/15/2014,14.13
10/16/2014,14.08
10/17/2014,14.17
10/20/2014,14.48
10/21/2014,14.8
10/22/2014,14.56
10/23/2014,14.62
10/24/2014,15.07
10/27/2014,15.5
10/28/2014,16.17
10/29/2014,16.4
10/30/2014,16.33
10/31/2014,15.37
11/3/2014,15.2
11/4/2014,15.39
11/5/2014,15.8
11/6/2014,15.37
11/7/2014,15.78
11/10/2014,15.97
11/11/2014,16.03
11/12/2014,16.25
11/13/2014,16.24
11/14/2014,16.05
11/17/2014,15.97
11/18/2014,16.29
11/19/2014,16.01
11/20/2014,16.2
11/21/2014,16.36
11/24/2014,16.6
11/25/2014,17
11/26/2014,17.25
11/28/2014,17.25
12/1/2014,16.67
12/2/2014,17.07
12/3/2014,17.09
12/4/2014,17.22
12/5/2014,17.5
12/8/2014,17.84
12/9/2014,17.73
12/10/2014,18.06
12/11/2014,20.92
12/12/2014,20
12/15/2014,21.37
12/16/2014,21.03
12/17/2014,21.3
12/18/2014,21.74
12/19/2014,20.29
12/22/2014,19.71
12/23/2014,19.27
12/24/2014,19.65
12/26/2014,18.57
12/29/2014,18.92
12/30/2014,18.22
12/31/2014,18.11
1/2/2015,17.7
1/5/2015,17.65
1/6/2015,17.8
1/7/2015,19.96
1/8/2015,20.06
1/9/2015,19.41
1/12/2015,19.29
1/13/2015,19.52
1/14/2015,19.13
1/15/2015,19.79
1/16/2015,19.98
1/20/2015,19.27
1/21/2015,18.2
1/22/2015,18.09
1/23/2015,17.37
1/26/2015,17.11
1/27/2015,17.35
1/28/2015,17.14
1/29/2015,17.09
1/30/2015,16.85
2/2/2015,17.33
2/3/2015,16.93
2/4/2015,15.01
2/5/2015,15.73
2/6/2015,16.7
2/9/2015,17.25
2/10/2015,16.15
2/11/2015,16.31
2/12/2015,16.63
2/13/2015,16.52
2/17/2015,16.26
2/18/2015,16.27
2/19/2015,16.01
2/20/2015,16
2/23/2015,16.15
2/24/2015,16.23
2/25/2015,16.91
2/26/2015,17.9
2/27/2015,16.73
3/2/2015,16.29
3/3/2015,16.11
3/4/2015,16.09
3/5/2015,16.4
3/6/2015,16.1
3/9/2015,16.13
3/10/2015,16
3/11/2015,16.01
3/12/2015,15.56
3/13/2015,15
3/16/2015,15.18
3/17/2015,15.08
3/18/2015,15.09
3/19/2015,15.21
3/20/2015,15.27
3/23/2015,16.11
3/24/2015,15.13
3/25/2015,14.65
3/26/2015,15.93
3/27/2015,15.14
3/30/2015,15.32
3/31/2015,15.35
4/1/2015,15.01
4/2/2015,15.91
4/6/2015,15.52
4/7/2015,15.23
4/8/2015,15.53
4/9/2015,15.15
4/10/2015,15
4/13/2015,15.15
4/14/2015,14.99
4/15/2015,15
4/16/2015,15
4/17/2015,15.03
4/20/2015,15.27
4/21/2015,15.98
4/22/2015,15.36
4/23/2015,15.1
4/24/2015,14.96
4/27/2015,14.76
4/28/2015,15.05
4/29/2015,14.77
4/30/2015,14.75
