Date,Adj_Close
6/29/2017,19.81
6/30/2017,22.29
7/3/2017,23.33
7/5/2017,22.71
7/6/2017,23.32
7/7/2017,25.17
7/10/2017,27.47
7/11/2017,26.81
7/12/2017,25.4
7/13/2017,24.99
7/14/2017,24.03
7/17/2017,23.9
7/18/2017,24
7/19/2017,23.07
7/20/2017,22.77
7/21/2017,22.75
7/24/2017,22.27
7/25/2017,21.33
7/26/2017,20.05
7/27/2017,19.87
7/28/2017,19.5
7/31/2017,18.5
8/1/2017,18.27
8/2/2017,18.5
8/3/2017,20
8/4/2017,19.91
8/7/2017,18.58
8/8/2017,18.35
8/9/2017,18.6
8/10/2017,18.2
8/11/2017,18.25
8/14/2017,21.81
8/15/2017,26.61
8/16/2017,26.21
8/17/2017,25.63
8/18/2017,25.8
8/21/2017,26.33
8/22/2017,25.72
8/23/2017,25.77
8/24/2017,25.32
8/25/2017,24.89
8/28/2017,24.98
8/29/2017,24.94
8/30/2017,24.75
8/31/2017,24.7
9/1/2017,24.7
9/5/2017,26.04
9/6/2017,26.21
9/7/2017,26.64
9/8/2017,26.9
9/11/2017,26.81
9/12/2017,26.74
9/13/2017,26.24
9/14/2017,26.5
9/15/2017,26.38
9/18/2017,26.16
9/19/2017,25.83
9/20/2017,25.61
9/21/2017,25.37
9/22/2017,24.54
9/25/2017,22.45
9/26/2017,24.07
9/27/2017,24.47
9/28/2017,24.48
9/29/2017,24.28
10/2/2017,25.57
10/3/2017,25.48
10/4/2017,26.04
10/5/2017,26.63
10/6/2017,27.85
10/9/2017,28.27
10/10/2017,27.63
10/11/2017,27.81
10/12/2017,27.99
10/13/2017,28.46
10/16/2017,28.46
10/17/2017,27.81
10/18/2017,27.47
10/19/2017,27.13
10/20/2017,26.73
10/23/2017,26.5
10/24/2017,26.42
10/25/2017,25.36
10/26/2017,25.42
10/27/2017,24.8
10/30/2017,25.34
10/31/2017,25.06
11/1/2017,24.99
11/2/2017,25.09
11/3/2017,24.95
11/6/2017,25.51
11/7/2017,24.11
11/8/2017,24.19
11/9/2017,23.82
11/10/2017,23.13
11/13/2017,24.92
11/14/2017,22.57
11/15/2017,24.3
11/16/2017,26.28
11/17/2017,26.7
11/20/2017,26.42
11/21/2017,26.75
11/22/2017,27.57
11/24/2017,28.76
11/27/2017,28.63
11/28/2017,27.83
11/29/2017,28.27
11/30/2017,29.87
12/1/2017,30.09
12/4/2017,29.92
12/5/2017,29.44
12/6/2017,29.25
12/7/2017,29.86
12/8/2017,29.99
12/11/2017,30.08
12/12/2017,30.2
12/13/2017,31.63
12/14/2017,32.43
12/15/2017,31.21
12/18/2017,29.53
12/19/2017,28.98
12/20/2017,28.5
12/21/2017,29.36
12/22/2017,28.7
12/26/2017,28.65
12/27/2017,28.54
12/28/2017,28.58
12/29/2017,28.8
1/2/2018,27.66
1/3/2018,26.23
1/4/2018,26.35
1/5/2018,28.55
1/8/2018,29.19
1/9/2018,30.04
1/10/2018,30.05
1/11/2018,29.52
1/12/2018,29.72
1/16/2018,28.7
1/17/2018,30.22
1/18/2018,30.55
1/19/2018,30.9
1/22/2018,31
1/23/2018,30.2
1/24/2018,29.83
1/25/2018,30.08
1/26/2018,31.85
1/29/2018,32.29
1/30/2018,31.81
1/31/2018,31.86
2/1/2018,31.49
2/2/2018,30.74
2/5/2018,30.37
2/6/2018,30.11
2/7/2018,30.11
2/8/2018,29.49
2/9/2018,30.58
2/12/2018,30.85
2/13/2018,31.47
2/14/2018,31.98
2/15/2018,33.9
2/16/2018,34.68
2/20/2018,34.71
2/21/2018,32.86
2/22/2018,32.78
2/23/2018,32.31
2/26/2018,32.01
2/27/2018,31.18
2/28/2018,30.26
3/1/2018,29.28
3/2/2018,29.51
3/5/2018,29.55
3/6/2018,29.31
3/7/2018,29.34
3/8/2018,29.73
3/9/2018,29.62
3/12/2018,29.33
3/13/2018,29.17
3/14/2018,28.73
3/15/2018,27.35
3/16/2018,27.18
3/19/2018,25
3/20/2018,26.19
3/21/2018,28.01
3/22/2018,30
3/23/2018,29.33
3/26/2018,28.87
3/27/2018,27.04
3/28/2018,26.8
3/29/2018,27.12
4/2/2018,26.62
4/3/2018,26.68
4/4/2018,27.56
4/5/2018,27.48
4/6/2018,28.31
4/9/2018,27.89
4/10/2018,28.79
4/11/2018,28.72
4/12/2018,27
4/13/2018,26.17
4/16/2018,26.17
4/17/2018,25.59
4/18/2018,25.64
4/19/2018,24.95
4/20/2018,25.33
4/23/2018,24.46
4/24/2018,25.3
4/25/2018,24.51
4/26/2018,25.81
4/27/2018,25.31
4/30/2018,28.81
5/1/2018,27.95
5/2/2018,28.09
5/3/2018,27.8
5/4/2018,26.22
5/7/2018,25.73
5/8/2018,26.02
5/9/2018,26.05
5/10/2018,23.915
5/11/2018,25.23
5/14/2018,26.3
5/15/2018,26.18
5/16/2018,27.13
5/17/2018,26.65
5/18/2018,27.84
5/21/2018,24.165
5/22/2018,25.82
5/23/2018,24.94
5/24/2018,25
5/25/2018,24.86
