Date,Adj_Close
1/3/2017,1.34
1/4/2017,1.37
1/5/2017,1.34
1/6/2017,1.31
1/9/2017,1.31
1/10/2017,1.3
1/11/2017,1.28
1/12/2017,1.26
1/13/2017,1.27
1/17/2017,1.23
1/18/2017,1.2
1/19/2017,1.23
1/20/2017,1.18
1/23/2017,1.17
1/24/2017,1.21
1/25/2017,1.22
1/26/2017,1.2
1/27/2017,1.18
1/30/2017,1.07
1/31/2017,1.06
2/1/2017,1.03
2/2/2017,1.02
2/3/2017,1.03
2/6/2017,1.04
2/7/2017,1.03
2/8/2017,1.01
2/9/2017,1.01
2/10/2017,1.03
2/13/2017,1.04
2/14/2017,1.02
2/15/2017,1
2/16/2017,0.99
2/17/2017,1.01
2/21/2017,0.99
2/22/2017,0.99
2/23/2017,0.97
2/24/2017,0.98
2/27/2017,1.02
2/28/2017,1.03
3/1/2017,1.03
3/2/2017,1.02
3/3/2017,0.98
3/6/2017,0.95
3/7/2017,0.96
3/8/2017,0.97
3/9/2017,0.97
3/10/2017,0.96
3/13/2017,1.01
3/14/2017,1
3/15/2017,0.98
3/16/2017,0.97
3/17/2017,0.95
3/20/2017,0.92
3/21/2017,0.91
3/22/2017,0.92
3/23/2017,0.95
3/24/2017,0.94
3/27/2017,0.95
3/28/2017,0.95
3/29/2017,0.97
3/30/2017,1.01
3/31/2017,1.05
4/3/2017,1.02
4/4/2017,0.98
4/5/2017,0.95
4/6/2017,0.95
4/7/2017,0.95
4/10/2017,0.98
4/11/2017,0.94
4/12/2017,0.93
4/13/2017,0.9
4/17/2017,0.87
4/18/2017,0.89
4/19/2017,0.88
4/20/2017,0.9
4/21/2017,0.89
4/24/2017,0.89
4/25/2017,0.84
4/26/2017,0.86
4/27/2017,0.88
4/28/2017,0.88
5/1/2017,0.87
5/2/2017,0.83
5/3/2017,0.79
5/4/2017,0.78
5/5/2017,0.8
5/8/2017,0.97
5/9/2017,1.01
5/10/2017,1
5/11/2017,1.1
5/12/2017,1.21
5/15/2017,1.28
5/16/2017,1.24
5/17/2017,1.16
5/18/2017,1.21
5/19/2017,1.23
5/22/2017,1.24
5/23/2017,1.22
5/24/2017,1.25
5/25/2017,1.26
5/26/2017,1.28
5/30/2017,1.25
5/31/2017,1.23
6/1/2017,1.33
6/2/2017,1.32
6/5/2017,1.23
6/6/2017,1.21
6/7/2017,1.21
6/8/2017,1.21
6/9/2017,1.23
6/12/2017,1.25
6/13/2017,1.3
6/14/2017,1.29
6/15/2017,1.3
6/16/2017,1.31
6/19/2017,1.4
6/20/2017,1.44
6/21/2017,1.45
6/22/2017,1.48
6/23/2017,1.53
6/26/2017,1.5
6/27/2017,1.54
6/28/2017,1.56
6/29/2017,1.56
6/30/2017,1.56
7/3/2017,1.58
7/5/2017,1.56
7/6/2017,1.54
7/7/2017,1.6
7/10/2017,1.59
7/11/2017,1.59
7/12/2017,1.68
7/13/2017,1.72
7/14/2017,1.7
7/17/2017,1.73
7/18/2017,1.84
7/19/2017,1.87
7/20/2017,1.85
7/21/2017,1.87
7/24/2017,1.84
7/25/2017,1.84
7/26/2017,1.87
7/27/2017,1.81
7/28/2017,1.76
7/31/2017,1.73
8/1/2017,1.76
8/2/2017,1.73
8/3/2017,1.7
8/4/2017,1.69
8/7/2017,1.68
8/8/2017,1.75
8/9/2017,1.61
8/10/2017,1.58
8/11/2017,1.65
8/14/2017,1.65
8/15/2017,1.64
8/16/2017,1.68
8/17/2017,1.64
8/18/2017,1.63
8/21/2017,1.61
8/22/2017,1.6
8/23/2017,1.59
8/24/2017,1.6
8/25/2017,1.61
8/28/2017,1.6
8/29/2017,1.6
8/30/2017,1.55
8/31/2017,1.59
9/1/2017,1.6
9/5/2017,1.6
9/6/2017,1.63
9/7/2017,1.6
9/8/2017,1.61
9/11/2017,1.64
9/12/2017,1.61
9/13/2017,1.62
9/14/2017,1.6
9/15/2017,1.61
9/18/2017,1.65
9/19/2017,1.63
9/20/2017,1.65
9/21/2017,1.69
9/22/2017,1.73
9/25/2017,1.68
9/26/2017,1.74
9/27/2017,1.82
9/28/2017,1.76
9/29/2017,1.77
10/2/2017,1.87
10/3/2017,2.1
10/4/2017,1.99
10/5/2017,2.08
10/6/2017,2.04
10/9/2017,2.01
10/10/2017,2.04
10/11/2017,1.98
10/12/2017,1.91
10/13/2017,1.82
10/16/2017,1.99
10/17/2017,1.81
10/18/2017,1.94
10/19/2017,1.97
10/20/2017,0.78
10/23/2017,0.88
10/24/2017,0.82
10/25/2017,0.8
10/26/2017,0.78
10/27/2017,0.78
10/30/2017,0.78
10/31/2017,0.8
11/1/2017,0.79
11/2/2017,0.87
11/3/2017,0.95
11/6/2017,0.9
11/7/2017,0.99
11/8/2017,0.92
11/9/2017,0.91
11/10/2017,0.96
11/13/2017,0.91
11/14/2017,0.9
11/15/2017,0.93
11/16/2017,0.96
11/17/2017,1.01
11/20/2017,1.09
11/21/2017,1.09
11/22/2017,1.15
11/24/2017,1.12
11/27/2017,1.11
11/28/2017,1.12
11/29/2017,1.14
11/30/2017,1.05
12/1/2017,1.08
12/4/2017,1.08
12/5/2017,1.06
12/6/2017,1.01
12/7/2017,1.02
12/8/2017,1.01
12/11/2017,1.01
12/12/2017,0.9841
12/13/2017,1.02
12/14/2017,0.9917
12/15/2017,1.01
12/18/2017,1.02
12/19/2017,1.01
12/20/2017,0.9975
12/21/2017,1.01
12/22/2017,0.9771
12/26/2017,0.9575
12/27/2017,0.93
12/28/2017,0.9403
12/29/2017,0.9218
1/2/2018,0.9202
1/3/2018,0.9133
1/4/2018,0.9202
1/5/2018,0.9575
1/8/2018,0.93
1/9/2018,1.08
1/10/2018,1.25
1/11/2018,1.24
1/12/2018,1.17
1/16/2018,1.15
1/17/2018,1.16
1/18/2018,1.17
1/19/2018,1.2
1/22/2018,1.25
1/23/2018,1.25
1/24/2018,1.24
1/25/2018,1.21
1/26/2018,1.24
1/29/2018,1.18
1/30/2018,1.2
1/31/2018,1.19
2/1/2018,1.19
2/2/2018,1.13
2/5/2018,1.08
2/6/2018,1.11
2/7/2018,1.12
2/8/2018,1.09
2/9/2018,1.09
2/12/2018,1.09
2/13/2018,1.1
2/14/2018,1.05
2/15/2018,1.09
2/16/2018,1.12
2/20/2018,1.09
2/21/2018,1.12
2/22/2018,1.12
2/23/2018,1.13
2/26/2018,1.2
2/27/2018,1.2
2/28/2018,1.22
3/1/2018,1.32
3/2/2018,1.45
3/5/2018,1.5
3/6/2018,1.63
3/7/2018,1.74
3/8/2018,1.75
3/9/2018,1.85
3/12/2018,1.87
3/13/2018,1.89
3/14/2018,1.87
3/15/2018,1.94
3/16/2018,1.94
3/19/2018,2.02
3/20/2018,2.14
3/21/2018,2.19
3/22/2018,2.23
3/23/2018,2.24
3/26/2018,2.11
3/27/2018,2.1
3/28/2018,2.14
3/29/2018,2.14
4/2/2018,2.14
4/3/2018,2.25
4/4/2018,2.28
4/5/2018,2.37
4/6/2018,2.36
4/9/2018,2.48
4/10/2018,2.46
4/11/2018,2.48
4/12/2018,2.49
4/13/2018,2.44
4/16/2018,2.51
4/17/2018,2.49
4/18/2018,2.47
4/19/2018,2.14
4/20/2018,2.11
4/23/2018,2.07
4/24/2018,2.06
4/25/2018,2.08
4/26/2018,2.09
4/27/2018,2.09
4/30/2018,2.03
5/1/2018,2.07
5/2/2018,2.03
5/3/2018,1.82
5/4/2018,1.82
5/7/2018,1.79
5/8/2018,1.8
5/9/2018,1.93
5/10/2018,1.75
5/11/2018,1.75
5/14/2018,1.76
5/15/2018,1.86
5/16/2018,1.95
5/17/2018,1.97
5/18/2018,1.94
5/21/2018,1.95
5/22/2018,1.89
5/23/2018,1.9
5/24/2018,1.88
5/25/2018,1.97
5/29/2018,1.96
5/30/2018,1.96
5/31/2018,1.92
6/1/2018,2.03
6/4/2018,1.98
6/5/2018,2.07
6/6/2018,2.06
6/7/2018,2.05
6/8/2018,2.09
