Date,Adj_Close
3/21/2013,17.18
3/22/2013,16.81
3/25/2013,16.83
3/26/2013,17.09
3/27/2013,17.09
3/28/2013,18.2
4/1/2013,19.93
4/2/2013,20.16
4/3/2013,19.93
4/4/2013,19.84
4/5/2013,20.34
4/8/2013,20.8
4/9/2013,20.65
4/10/2013,21.69
4/11/2013,21.12
4/12/2013,19.68
4/15/2013,20.35
4/16/2013,20
4/17/2013,19.9
4/18/2013,20.64
4/19/2013,20.13
4/22/2013,20.43
4/23/2013,20.99
4/24/2013,21.01
4/25/2013,18.52
4/26/2013,20.62
4/29/2013,20.43
4/30/2013,19.96
5/1/2013,19.73
5/2/2013,19.57
5/3/2013,19.37
5/6/2013,19.9
5/7/2013,19.92
5/8/2013,20.07
5/9/2013,20.05
5/10/2013,19.9
5/13/2013,19.79
5/14/2013,19.76
5/15/2013,20.4
5/16/2013,20.85
5/17/2013,20.88
5/20/2013,20.7
5/21/2013,20.4
5/22/2013,20.06
5/23/2013,19.86
5/24/2013,20
5/28/2013,19.95
5/29/2013,19.78
5/30/2013,19.5
5/31/2013,19.48
6/3/2013,18.97
6/4/2013,18.57
6/5/2013,18.89
6/6/2013,18.75
6/7/2013,18.8
6/10/2013,18.82
6/11/2013,18.76
6/12/2013,18.16
6/13/2013,17.45
6/14/2013,16.87
6/17/2013,16.49
6/18/2013,17.72
6/19/2013,17.74
6/20/2013,17.47
6/21/2013,17.6
6/24/2013,17.89
6/25/2013,18
6/26/2013,18.2
6/27/2013,17.99
6/28/2013,17.71
7/1/2013,17.29
7/2/2013,17.52
7/3/2013,17.24
7/5/2013,17.38
7/8/2013,17.7
7/9/2013,18.1
7/10/2013,19
7/11/2013,18.29
7/12/2013,17.8
7/15/2013,17.96
7/16/2013,17.69
7/17/2013,18.7
7/18/2013,18.19
7/19/2013,17.65
7/22/2013,17.44
7/23/2013,17.2
7/24/2013,17.19
7/25/2013,17.44
7/26/2013,17.37
7/29/2013,16.98
7/30/2013,17.01
7/31/2013,18.34
8/1/2013,19.18
8/2/2013,18.93
8/5/2013,19.1
8/6/2013,18.92
8/7/2013,18.09
8/8/2013,17.69
8/9/2013,17.67
8/12/2013,18.87
8/13/2013,18.98
8/14/2013,18.71
8/15/2013,19.02
8/16/2013,18.58
8/19/2013,18.72
8/20/2013,18.8
8/21/2013,19.05
8/22/2013,18.98
8/23/2013,18.5
8/26/2013,18.67
8/27/2013,18.44
8/28/2013,18.67
8/29/2013,18.6
8/30/2013,18.58
9/3/2013,18.74
9/4/2013,18.87
9/5/2013,18.98
9/6/2013,18.61
9/9/2013,18.77
9/10/2013,19.29
9/11/2013,19.62
9/12/2013,19.61
9/13/2013,19.09
9/16/2013,19.13
9/17/2013,21.39
9/18/2013,22.42
9/19/2013,24.75
9/20/2013,25
9/23/2013,23.59
9/24/2013,22.95
9/25/2013,22.75
9/26/2013,23.29
9/27/2013,23.01
9/30/2013,22.92
10/1/2013,23.71
10/2/2013,23.27
10/3/2013,22.74
10/4/2013,21.84
10/7/2013,21.66
10/8/2013,20.9
10/9/2013,20.56
10/10/2013,20.92
10/11/2013,20.62
10/14/2013,19.5
10/15/2013,19.605
10/16/2013,20.81
10/17/2013,20.66
10/18/2013,20.3
10/21/2013,19.99
10/22/2013,20.33
10/23/2013,20.94
10/24/2013,20.18
10/25/2013,20
10/28/2013,19.88
10/29/2013,19.98
10/30/2013,19.93
10/31/2013,19.96
11/1/2013,20.15
11/4/2013,19.78
11/5/2013,18.94
11/6/2013,19.5
