Date,Adj_Close
1/3/2017,14.73
1/4/2017,15.3
1/5/2017,14.99
1/6/2017,15.32
1/9/2017,17.58
1/10/2017,18.91
1/11/2017,18.23
1/12/2017,18.82
1/13/2017,18.51
1/17/2017,17.79
1/18/2017,18.02
1/19/2017,17.9
1/20/2017,17.92
1/23/2017,18.29
1/24/2017,18.53
1/25/2017,18.43
1/26/2017,18.5
1/27/2017,18.57
1/30/2017,18.28
1/31/2017,18.12
2/1/2017,18.82
2/2/2017,18.69
2/3/2017,20.26
2/6/2017,20.03
2/7/2017,20.57
2/8/2017,21.61
2/9/2017,22.5
2/10/2017,22.08
2/13/2017,21.3
2/14/2017,22.02
2/15/2017,22.1
2/16/2017,22.65
2/17/2017,23.12
2/21/2017,23.11
2/22/2017,22.62
2/23/2017,21.74
2/24/2017,21.69
2/27/2017,23.09
2/28/2017,21.53
3/1/2017,21.93
3/2/2017,21.99
3/3/2017,23.08
3/6/2017,22.73
3/7/2017,22.24
3/8/2017,21.83
3/9/2017,22
3/10/2017,21.64
3/13/2017,21.85
3/14/2017,21.74
3/15/2017,22.8
3/16/2017,21.87
3/17/2017,22.03
3/20/2017,22.04
3/21/2017,20.44
3/22/2017,20.48
3/23/2017,20.31
3/24/2017,20.91
3/27/2017,21.37
3/28/2017,21.28
3/29/2017,21.13
3/30/2017,21.2
3/31/2017,21.67
4/3/2017,21.23
4/4/2017,21.25
4/5/2017,20.5
4/6/2017,20.38
4/7/2017,20.47
4/10/2017,20.28
4/11/2017,20.96
4/12/2017,20.68
4/13/2017,21.29
4/17/2017,21.29
4/18/2017,20.88
4/19/2017,21.04
4/20/2017,21.32
4/21/2017,20.98
4/24/2017,21.3
4/25/2017,22.08
4/26/2017,22
4/27/2017,22.24
4/28/2017,22.4
5/1/2017,23.15
5/2/2017,23.16
5/3/2017,22.52
5/4/2017,22.04
5/5/2017,21.69
5/8/2017,21.56
5/9/2017,21.84
5/10/2017,22.11
5/11/2017,21.72
5/12/2017,21.61
5/15/2017,21.7
5/16/2017,21.56
5/17/2017,19.86
5/18/2017,21.03
5/19/2017,19.68
5/22/2017,19.3
5/23/2017,19.8
5/24/2017,20.17
5/25/2017,19.57
5/26/2017,19.35
5/30/2017,18.32
5/31/2017,18.71
6/1/2017,19.06
6/2/2017,19.04
6/5/2017,19.1
6/6/2017,19.13
6/7/2017,19.34
6/8/2017,19.72
6/9/2017,19.25
6/12/2017,19.8
6/13/2017,19.9
6/14/2017,19.67
6/15/2017,19.24
6/16/2017,19.26
6/19/2017,21.6
6/20/2017,22.28
6/21/2017,24.02
6/22/2017,24.07
6/23/2017,23.78
6/26/2017,24.9
6/27/2017,23.59
6/28/2017,24.02
6/29/2017,24.64
6/30/2017,24.63
7/3/2017,24.75
7/5/2017,24.97
7/6/2017,24.6
7/7/2017,25.21
7/10/2017,25.49
7/11/2017,25.42
7/12/2017,26.61
7/13/2017,26.58
7/14/2017,26.74
7/17/2017,26.21
7/18/2017,26.15
7/19/2017,26.75
7/20/2017,26.99
7/21/2017,27.23
7/24/2017,28.11
7/25/2017,27.41
7/26/2017,28.02
7/27/2017,27.11
7/28/2017,27.63
7/31/2017,27.11
8/1/2017,26.47
8/2/2017,26.63
8/3/2017,25.71
8/4/2017,26.66
8/7/2017,26.69
8/8/2017,27.2
8/9/2017,27.19
8/10/2017,26.45
8/11/2017,26.51
8/14/2017,26.74
8/15/2017,26.91
8/16/2017,26.78
8/17/2017,26.88
8/18/2017,26.33
8/21/2017,26.37
8/22/2017,27
8/23/2017,26.79
8/24/2017,27.32
8/25/2017,27.16
8/28/2017,27.32
8/29/2017,27.56
8/30/2017,28.28
8/31/2017,29.24
9/1/2017,28.98
9/5/2017,28.22
9/6/2017,28.17
9/7/2017,25.66
9/8/2017,25.97
9/11/2017,26.24
9/12/2017,26.95
9/13/2017,27.11
9/14/2017,27.24
9/15/2017,27.57
9/18/2017,27.58
9/19/2017,27.92
9/20/2017,28.27
9/21/2017,28.01
9/22/2017,24.47
9/25/2017,23.35
9/26/2017,23.59
9/27/2017,23.75
9/28/2017,24.23
9/29/2017,24.23
10/2/2017,24.28
10/3/2017,24.41
10/4/2017,25.26
10/5/2017,25.73
10/6/2017,25.71
10/9/2017,25.66
10/10/2017,25.94
10/11/2017,25.65
10/12/2017,24.73
10/13/2017,24.76
10/16/2017,29.02
10/17/2017,28.3
10/18/2017,27.53
10/19/2017,27.46
10/20/2017,27.17
10/23/2017,26.98
10/24/2017,26.44
10/25/2017,25.89
10/26/2017,25.92
10/27/2017,26.63
10/30/2017,26.08
10/31/2017,24.79
11/1/2017,24.23
11/2/2017,25.52
11/3/2017,26.25
11/6/2017,27.38
11/7/2017,26.59
11/8/2017,26.4
11/9/2017,25.75
11/10/2017,25.85
11/13/2017,26.05
11/14/2017,25.11
11/15/2017,24.75
11/16/2017,25.83
11/17/2017,26.38
11/20/2017,25.65
11/21/2017,26.05
11/22/2017,26.13
11/24/2017,25.85
11/27/2017,26.38
11/28/2017,27.01
11/29/2017,26.1
11/30/2017,27.08
12/1/2017,28.12
12/4/2017,27.57
12/5/2017,26.73
12/6/2017,26.22
12/7/2017,26.9
12/8/2017,27.11
12/11/2017,26.42
12/12/2017,26.84
12/13/2017,26.58
12/14/2017,25.95
12/15/2017,26.1
12/18/2017,26.07
12/19/2017,26.68
12/20/2017,28.02
12/21/2017,27.81
12/22/2017,29.47
12/26/2017,30.41
12/27/2017,30.81
12/28/2017,30.93
12/29/2017,30.4
1/2/2018,31.4
1/3/2018,31.75
1/4/2018,31.89
1/5/2018,31.62
1/8/2018,29.3
1/9/2018,30.01
1/10/2018,29.99
1/11/2018,30.08
1/12/2018,30.38
1/16/2018,29.65
1/17/2018,27.49
1/18/2018,27.86
1/19/2018,28
1/22/2018,29.44
1/23/2018,30.4
1/24/2018,30.48
1/25/2018,30.46
1/26/2018,30.27
1/29/2018,31.36
1/30/2018,30.5
1/31/2018,30.31
2/1/2018,30.66
2/2/2018,30.22
2/5/2018,28.46
2/6/2018,29.03
2/7/2018,29.72
2/8/2018,27.6
2/9/2018,28.21
2/12/2018,29.05
2/13/2018,28.8
2/14/2018,29.54
2/15/2018,29.78
2/16/2018,29.18
2/20/2018,28.83
2/21/2018,28.99
2/22/2018,29.1
2/23/2018,29.51
2/26/2018,29.53
2/27/2018,27.11
2/28/2018,25.8
3/1/2018,24.21
3/2/2018,24.08
3/5/2018,24.83
3/6/2018,24.62
3/7/2018,24.96
3/8/2018,24.48
3/9/2018,24.53
3/12/2018,24.82
3/13/2018,24.8
3/14/2018,24.87
3/15/2018,24.75
3/16/2018,24.64
3/19/2018,23.81
3/20/2018,24.51
3/21/2018,24.13
3/22/2018,23.31
3/23/2018,22.71
3/26/2018,23.36
3/27/2018,22.44
3/28/2018,22.36
3/29/2018,22.15
4/2/2018,21.49
4/3/2018,21.28
4/4/2018,22.31
4/5/2018,22.1
4/6/2018,21.09
4/9/2018,19.67
4/10/2018,21.18
4/11/2018,20.58
4/12/2018,20.85
4/13/2018,20.44
4/16/2018,20.4
4/17/2018,21.67
4/18/2018,21.42
4/19/2018,21.09
4/20/2018,20.87
4/23/2018,20.74
4/24/2018,20.4
4/25/2018,20.83
4/26/2018,20.71
4/27/2018,21.34
4/30/2018,20.82
5/1/2018,21
5/2/2018,20.62
5/3/2018,22.22
5/4/2018,22.45
5/7/2018,22.21
5/8/2018,21.67
5/9/2018,21.69
5/10/2018,18.56
5/11/2018,19.55
5/14/2018,20.73
5/15/2018,21.01
5/16/2018,20.41
