Date,Adj_Close
7/23/2015,19.54
7/24/2015,20.51
7/27/2015,19.95
7/28/2015,19.34
7/29/2015,20.12
7/30/2015,19.56
7/31/2015,20.01
8/3/2015,21.17
8/4/2015,20.03
8/5/2015,22.24
8/6/2015,22.19
8/7/2015,22.57
8/10/2015,22.11
8/11/2015,20.01
8/12/2015,21.79
8/13/2015,20.66
8/14/2015,20.63
8/17/2015,22.21
8/18/2015,22.39
8/19/2015,22.63
8/20/2015,23.31
8/21/2015,24.9
8/24/2015,22.95
8/25/2015,23.86
8/26/2015,25.72
8/27/2015,26.59
8/28/2015,27.09
8/31/2015,26.78
9/1/2015,25.5
9/2/2015,26.52
9/3/2015,24.42
9/4/2015,23.46
9/8/2015,23
9/9/2015,21.06
9/10/2015,21.96
9/11/2015,23.3
9/14/2015,22.87
9/15/2015,23.1
9/16/2015,22.9
9/17/2015,22.57
9/18/2015,21.38
9/21/2015,20.5
9/22/2015,19.81
9/23/2015,19.35
9/24/2015,19.34
9/25/2015,19.21
9/28/2015,18.02
9/29/2015,19.58
9/30/2015,21.01
10/1/2015,19.82
10/2/2015,20.89
10/5/2015,21.17
10/6/2015,19.55
10/7/2015,19.62
10/8/2015,19.26
10/9/2015,18.69
10/12/2015,18.91
10/13/2015,18.37
10/14/2015,18.66
10/15/2015,19.05
10/16/2015,18.54
10/19/2015,18.59
10/20/2015,12.47
10/21/2015,12.43
10/22/2015,12.12
10/23/2015,12.35
10/26/2015,12.81
10/27/2015,13.15
10/28/2015,13.84
10/29/2015,14.04
10/30/2015,14.16
11/2/2015,14.53
11/3/2015,14.3
11/4/2015,13.93
11/5/2015,13.78
11/6/2015,13.64
11/9/2015,13.11
11/10/2015,12.83
11/11/2015,14.28
11/12/2015,14.81
11/13/2015,14.42
11/16/2015,13.96
11/17/2015,13.7
11/18/2015,15.05
11/19/2015,15.01
11/20/2015,15.63
11/23/2015,16.41
11/24/2015,15.97
11/25/2015,16.19
11/27/2015,15.66
11/30/2015,15.46
12/1/2015,15.3
12/2/2015,15.29
12/3/2015,14.84
12/4/2015,14.57
12/7/2015,14.6
12/8/2015,14.67
12/9/2015,14.46
12/10/2015,14.3
12/11/2015,13.54
12/14/2015,13.38
12/15/2015,12.6
12/16/2015,12.79
12/17/2015,13.07
12/18/2015,12.41
12/21/2015,12.93
12/22/2015,13.15
12/23/2015,13.47
12/24/2015,13.79
12/28/2015,13.72
12/29/2015,13.6
12/30/2015,13.33
12/31/2015,14.32
1/4/2016,13.37
1/5/2016,13.56
1/6/2016,13.28
1/7/2016,12.69
1/8/2016,12.04
1/11/2016,11.55
1/12/2016,11.32
1/13/2016,9.96
1/14/2016,10.3
1/15/2016,9.68
1/19/2016,10.16
1/20/2016,10.18
1/21/2016,9.73
1/22/2016,9.9
1/25/2016,9.87
1/26/2016,9.34
1/27/2016,9.42
1/28/2016,13.38
1/29/2016,13.58
2/1/2016,10.88
2/2/2016,10.42
2/3/2016,9.57
2/4/2016,9.33
2/5/2016,8.72
2/8/2016,8.11
2/9/2016,9.73
2/10/2016,9.36
2/11/2016,8.68
2/12/2016,8.84
2/16/2016,8.95
2/17/2016,10.17
2/18/2016,10.7
2/19/2016,10.61
2/22/2016,10.7
2/23/2016,9.98
2/24/2016,10.5
2/25/2016,10.35
2/26/2016,10.54
2/29/2016,9.91
3/1/2016,10.32
3/2/2016,11.5
3/3/2016,11.39
3/4/2016,11.53
3/7/2016,11.39
3/8/2016,10.59
3/9/2016,10.81
3/10/2016,10.48
3/11/2016,10.91
3/14/2016,11.11
3/15/2016,10.45
3/16/2016,9.74
3/17/2016,9.88
3/18/2016,9.79
3/21/2016,10.32
3/22/2016,11.24
3/23/2016,10.58
3/24/2016,10.39
3/28/2016,9.97
3/29/2016,10.68
3/30/2016,10.22
3/31/2016,10.79
4/1/2016,10.74
4/4/2016,10.84
4/5/2016,10.19
4/6/2016,10.65
4/7/2016,10.34
4/8/2016,10.43
4/11/2016,10.47
4/12/2016,10.4
4/13/2016,10.29
4/14/2016,10.3
4/15/2016,10.04
4/18/2016,10.2
4/19/2016,9.94
4/20/2016,9.84
4/21/2016,10.11
4/22/2016,10.11
4/25/2016,9.75
4/26/2016,9.51
4/27/2016,9.29
4/28/2016,9.33
4/29/2016,9.07
5/2/2016,9.29
5/3/2016,9.01
5/4/2016,8.82
5/5/2016,8.48
5/6/2016,8.17
5/9/2016,8.2
5/10/2016,8.28
5/11/2016,7.84
5/12/2016,7.63
5/13/2016,7.77
5/16/2016,7.7
5/17/2016,7.49
5/18/2016,7.48
5/19/2016,7.61
5/20/2016,7.82
5/23/2016,7.55
5/24/2016,8.64
5/25/2016,10.63
5/26/2016,10.81
5/27/2016,10.84
5/31/2016,10.48
6/1/2016,10.96
6/2/2016,11.23
6/3/2016,11.2
6/6/2016,11.1
6/7/2016,10.8
6/8/2016,10.25
6/9/2016,9.69
6/10/2016,9.83
6/13/2016,9.83
6/14/2016,9.69
6/15/2016,9.72
6/16/2016,10.04
6/17/2016,9.88
6/20/2016,9.75
6/21/2016,9.67
6/22/2016,9.41
6/23/2016,9.65
6/24/2016,9.21
6/27/2016,8.72
6/28/2016,9.02
