Date,Adj_Close
1/30/2015,50
2/2/2015,46
2/3/2015,45.98
2/4/2015,43.21
2/5/2015,42.55
2/6/2015,44.84
2/9/2015,45.77
2/10/2015,46.29
2/11/2015,47.86
2/12/2015,46.18
2/13/2015,46.25
2/17/2015,45.91
2/18/2015,46
2/19/2015,47.8
2/20/2015,51.44
2/23/2015,56.68
2/24/2015,57.89
2/25/2015,55.34
2/26/2015,60.25
2/27/2015,57.59
3/2/2015,58.99
3/3/2015,55
3/4/2015,54.53
3/5/2015,57.53
3/6/2015,58.01
3/9/2015,60.28
3/10/2015,60.34
3/11/2015,59.1
3/12/2015,61.14
3/13/2015,65.78
3/16/2015,68.45
3/17/2015,71.97
3/18/2015,76.3
3/19/2015,74.17
3/20/2015,69.95
3/23/2015,65.78
3/24/2015,65.43
3/25/2015,65.96
3/26/2015,65.77
3/27/2015,68.88
3/30/2015,74.13
3/31/2015,77.5
4/1/2015,72.05
4/2/2015,70
4/6/2015,69.3
4/7/2015,70.88
4/8/2015,71.29
4/9/2015,70.52
4/10/2015,71.82
4/13/2015,74.38
4/14/2015,75.61
4/15/2015,76.14
4/16/2015,75.32
4/17/2015,69.97
4/20/2015,64.08
4/21/2015,65.04
4/22/2015,64.79
4/23/2015,62.05
4/24/2015,61.39
4/27/2015,53.93
4/28/2015,55.64
4/29/2015,60.96
4/30/2015,57.27
5/1/2015,58.52
5/4/2015,55.01
5/5/2015,52.65
5/6/2015,59.36
5/7/2015,58.31
5/8/2015,59.84
5/11/2015,60.6
5/12/2015,59.68
5/13/2015,58
5/14/2015,56.8
5/15/2015,56.86
5/18/2015,61.08
5/19/2015,65.15
5/20/2015,65.95
5/21/2015,68.45
5/22/2015,67.53
5/26/2015,68.28
5/27/2015,68.88
5/28/2015,68.8
5/29/2015,73.64
6/1/2015,74.17
6/2/2015,74.14
6/3/2015,71.97
6/4/2015,70.08
6/5/2015,73.21
6/8/2015,73.64
6/9/2015,72.23
6/10/2015,73.38
6/11/2015,71.31
6/12/2015,70.93
6/15/2015,72.53
6/16/2015,70.59
6/17/2015,68.51
6/18/2015,67.67
6/19/2015,65.84
6/22/2015,66.85
6/23/2015,66.25
6/24/2015,65.33
6/25/2015,64.01
6/26/2015,59.87
6/29/2015,56.9
6/30/2015,60.27
7/1/2015,59.76
7/2/2015,59.44
7/6/2015,60.92
7/7/2015,62
7/8/2015,58.92
7/9/2015,59.37
7/10/2015,60.8
7/13/2015,60.99
7/14/2015,60.96
7/15/2015,59.59
7/16/2015,62.66
7/17/2015,62.44
