Date,Adj_Close
1/3/2017,9.09
1/4/2017,9.27
1/5/2017,9.04
1/6/2017,9.38
1/9/2017,9.31
1/10/2017,9.37
1/11/2017,9.23
1/12/2017,9.19
1/13/2017,9.15
1/17/2017,8.93
1/18/2017,8.98
1/19/2017,8.75
1/20/2017,8.64
1/23/2017,8.52
1/24/2017,8.46
1/25/2017,8.58
1/26/2017,8.72
1/27/2017,8.69
1/30/2017,8.48
1/31/2017,8.69
2/1/2017,8.63
2/2/2017,8.51
2/3/2017,8.61
2/6/2017,8.27
2/7/2017,8.3
2/8/2017,8.22
2/9/2017,8.1
2/10/2017,8.22
2/13/2017,8.27
2/14/2017,8.45
2/15/2017,8.66
2/16/2017,8.75
2/17/2017,8.81
2/21/2017,8.64
2/22/2017,8.45
2/23/2017,8.52
2/24/2017,8.44
2/27/2017,8.64
2/28/2017,8.39
3/1/2017,8.37
3/2/2017,7.43
3/3/2017,7.45
3/6/2017,7.61
3/7/2017,7.77
3/8/2017,7.92
3/9/2017,7.85
3/10/2017,7.95
3/13/2017,7.92
3/14/2017,8.07
3/15/2017,8.09
3/16/2017,8.36
3/17/2017,8.12
3/20/2017,8
3/21/2017,7.86
3/22/2017,7.86
3/23/2017,7.65
3/24/2017,7.85
3/27/2017,8.14
3/28/2017,8.31
3/29/2017,8.11
3/30/2017,7.97
3/31/2017,8
4/3/2017,7.75
4/4/2017,7.73
4/5/2017,7.61
4/6/2017,7.61
4/7/2017,7.59
4/10/2017,7.59
4/11/2017,7.55
4/12/2017,7.66
4/13/2017,7.62
4/17/2017,7.46
4/18/2017,7.11
4/19/2017,7.52
4/20/2017,7.63
4/21/2017,7.47
4/24/2017,7.58
4/25/2017,7.83
4/26/2017,7.83
4/27/2017,7.83
4/28/2017,7.77
5/1/2017,7.56
5/2/2017,7.65
5/3/2017,7.52
5/4/2017,7.55
5/5/2017,7.51
5/8/2017,7.25
5/9/2017,7.53
5/10/2017,7
5/11/2017,7.07
5/12/2017,7.19
5/15/2017,6.8
5/16/2017,6.6
5/17/2017,6.64
5/18/2017,6.6
5/19/2017,6.61
5/22/2017,6.52
5/23/2017,6.54
5/24/2017,6.44
5/25/2017,6.35
5/26/2017,6.33
5/30/2017,6.28
5/31/2017,6.14
6/1/2017,6.42
6/2/2017,6.71
6/5/2017,6.29
6/6/2017,6.39
6/7/2017,6.24
6/8/2017,6.26
6/9/2017,6.38
6/12/2017,6.54
6/13/2017,6.52
6/14/2017,6.52
6/15/2017,6.45
6/16/2017,6.53
6/19/2017,6.59
6/20/2017,6.7
6/21/2017,7.08
6/22/2017,6.69
6/23/2017,6.99
6/26/2017,7.1
6/27/2017,6.7
6/28/2017,6.86
6/29/2017,6.64
6/30/2017,6.58
7/3/2017,6.43
7/5/2017,6.35
7/6/2017,6.31
7/7/2017,6.38
7/10/2017,6.18
7/11/2017,6.17
7/12/2017,6.1
7/13/2017,6.25
7/14/2017,6.13
7/17/2017,6.05
7/18/2017,6.25
7/19/2017,6.56
7/20/2017,6.42
7/21/2017,6.59
7/24/2017,6.44
7/25/2017,6.4
7/26/2017,6.41
7/27/2017,6.32
7/28/2017,6.31
7/31/2017,6.45
8/1/2017,6.19
8/2/2017,6.12
8/3/2017,6.15
8/4/2017,6.2
8/7/2017,6.32
8/8/2017,6.14
8/9/2017,6.43
8/10/2017,6.11
8/11/2017,6.24
8/14/2017,6.16
8/15/2017,6.09
8/16/2017,6.06
8/17/2017,5.88
8/18/2017,6.12
8/21/2017,6.14
8/22/2017,6.19
8/23/2017,6.13
8/24/2017,6.3
8/25/2017,6.13
8/28/2017,6.28
8/29/2017,6.23
8/30/2017,6.18
8/31/2017,6.4
9/1/2017,6.43
9/5/2017,6.32
9/6/2017,6.31
9/7/2017,6.22
9/8/2017,6.13
9/11/2017,6.21
9/12/2017,6.26
9/13/2017,6.47
9/14/2017,6.02
9/15/2017,5.97
9/18/2017,6.02
9/19/2017,6.01
9/20/2017,6.33
9/21/2017,6.48
9/22/2017,6.71
9/25/2017,6.87
9/26/2017,7.11
9/27/2017,6.86
9/28/2017,6.94
9/29/2017,6.86
10/2/2017,7.03
10/3/2017,7.04
10/4/2017,6.9
10/5/2017,6.97
10/6/2017,7
10/9/2017,6.83
10/10/2017,6.88
10/11/2017,6.81
10/12/2017,6.88
10/13/2017,6.95
10/16/2017,6.9
10/17/2017,6.8
10/18/2017,6.7
10/19/2017,6.75
10/20/2017,6.96
10/23/2017,6.87
10/24/2017,6.78
10/25/2017,6.67
10/26/2017,6.63
10/27/2017,6.81
10/30/2017,6.84
10/31/2017,6.73
11/1/2017,6.52
11/2/2017,6.54
11/3/2017,6.57
11/6/2017,6.66
11/7/2017,6.58
11/8/2017,6.45
11/9/2017,5.42
11/10/2017,5.5
11/13/2017,5.26
11/14/2017,4.61
11/15/2017,4.74
11/16/2017,4.87
11/17/2017,4.94
11/20/2017,4.8
11/21/2017,4.78
11/22/2017,4.8
11/24/2017,5.01
11/27/2017,5.08
11/28/2017,5.02
11/29/2017,4.99
11/30/2017,5.25
12/1/2017,5.21
12/4/2017,5.14
12/5/2017,5.04
12/6/2017,4.99
12/7/2017,5.08
12/8/2017,5.25
12/11/2017,5.15
12/12/2017,5.1
12/13/2017,5.13
12/14/2017,4.85
12/15/2017,4.98
12/18/2017,5.07
12/19/2017,4.81
12/20/2017,4.94
12/21/2017,5.03
12/22/2017,4.92
12/26/2017,4.92
12/27/2017,4.92
12/28/2017,4.95
12/29/2017,4.9
1/2/2018,4.97
1/3/2018,5.12
1/4/2018,5.07
1/5/2018,4.96
1/8/2018,4.92
1/9/2018,4.99
1/10/2018,5.06
1/11/2018,5.06
1/12/2018,4.98
1/16/2018,4.6
1/17/2018,4.47
1/18/2018,4.4
1/19/2018,4.47
1/22/2018,4.44
1/23/2018,4.83
1/24/2018,4.85
1/25/2018,5
1/26/2018,4.88
1/29/2018,4.79
1/30/2018,4.59
1/31/2018,4.46
2/1/2018,4.45
2/2/2018,4.25
2/5/2018,4.155
2/6/2018,4.34
2/7/2018,4.14
2/8/2018,4.03
2/9/2018,3.88
2/12/2018,3.95
2/13/2018,3.9
2/14/2018,3.93
2/15/2018,3.96
2/16/2018,3.85
2/20/2018,3.69
2/21/2018,3.57
2/22/2018,3.62
2/23/2018,3.8
2/26/2018,3.73
2/27/2018,3.71
2/28/2018,3.39
3/1/2018,3.18
3/2/2018,3.37
3/5/2018,3.54
3/6/2018,3.42
3/7/2018,3.33
3/8/2018,3.32
3/9/2018,3.59
3/12/2018,3.55
3/13/2018,3.31
3/14/2018,3.35
3/15/2018,3.27
3/16/2018,3.6
3/19/2018,3.53
3/20/2018,3.3
3/21/2018,3.36
3/22/2018,3.31
3/23/2018,3.27
3/26/2018,3.32
3/27/2018,3.19
3/28/2018,3.11
3/29/2018,3.17
4/2/2018,3.04
4/3/2018,3.04
4/4/2018,3.17
4/5/2018,3.21
4/6/2018,3.07
4/9/2018,3.04
4/10/2018,3.08
4/11/2018,3.09
4/12/2018,3.01
4/13/2018,2.99
4/16/2018,3.02
4/17/2018,3.11
4/18/2018,3.22
4/19/2018,3.17
4/20/2018,3.08
4/23/2018,3.01
4/24/2018,3
4/25/2018,3.04
4/26/2018,3.1
4/27/2018,3.16
4/30/2018,3.04
5/1/2018,3.11
5/2/2018,3.13
5/3/2018,3.06
5/4/2018,3.15
5/7/2018,3.28
5/8/2018,3.22
5/9/2018,4.16
5/10/2018,4.35
5/11/2018,4.52
5/14/2018,4.78
5/15/2018,4.72
5/16/2018,4.99
5/17/2018,4.88
5/18/2018,3.99
5/21/2018,3.72
5/22/2018,3.75
5/23/2018,3.65
5/24/2018,3.7
5/25/2018,3.7
5/29/2018,3.72
5/30/2018,3.86
5/31/2018,3.88
6/1/2018,3.97
6/4/2018,4.11
6/5/2018,4.13
6/6/2018,4.07
6/7/2018,4.05
6/8/2018,4.26
6/11/2018,4.21
6/12/2018,4.33
6/13/2018,4.45
6/14/2018,4.48
6/15/2018,4.4
6/18/2018,4.44
6/19/2018,4.35
6/20/2018,4.79
6/21/2018,4.46
6/22/2018,4.57
6/25/2018,4.7
6/26/2018,4.81
6/27/2018,4.7
6/28/2018,4.77
6/29/2018,4.7
7/2/2018,4.72
7/3/2018,4.76
7/5/2018,4.83
7/6/2018,5.21
7/9/2018,5.52
7/10/2018,5.79
7/11/2018,6.01
7/12/2018,6.21
7/13/2018,5.86
7/16/2018,6.05
7/17/2018,6.29
7/18/2018,6.13
7/19/2018,5.96
7/20/2018,5.89
7/23/2018,5.96
7/24/2018,5.58
7/25/2018,5.39
7/26/2018,4.97
7/27/2018,4.95
7/30/2018,5.18
7/31/2018,5.62
8/1/2018,5.72
8/2/2018,5.8
8/3/2018,5.89
