Date,Adj_Close
7/24/2014,12.92
7/25/2014,12.65
7/28/2014,12.75
7/29/2014,12.6
7/30/2014,12.56
7/31/2014,12.35
8/1/2014,12.3
8/4/2014,12.8
8/5/2014,13
8/6/2014,13.4
8/7/2014,13.23
8/8/2014,13.24
8/11/2014,13.72
8/12/2014,14.2
8/13/2014,14.27
8/14/2014,14.07
8/15/2014,15.05
8/18/2014,16
8/19/2014,15.99
8/20/2014,15.84
8/21/2014,15.85
8/22/2014,15.86
8/25/2014,16.37
8/26/2014,16.45
8/27/2014,15.96
8/28/2014,15.79
8/29/2014,16.2
9/2/2014,16.07
9/3/2014,15.16
9/4/2014,16.53
9/5/2014,17.11
9/8/2014,17.25
9/9/2014,17.18
9/10/2014,16.85
9/11/2014,17.01
9/12/2014,17.02
9/15/2014,15.95
9/16/2014,15.4
9/17/2014,15.53
9/18/2014,15.31
9/19/2014,15.03
9/22/2014,14.76
9/23/2014,15.84
9/24/2014,15.61
9/25/2014,15.71
9/26/2014,16.29
9/29/2014,16.09
9/30/2014,15.5
10/1/2014,15.19
10/2/2014,15.99
10/3/2014,15.87
10/6/2014,15.91
10/7/2014,15.69
10/8/2014,16.02
10/9/2014,15.72
10/10/2014,15.925
10/13/2014,16.25
10/14/2014,16.11
10/15/2014,16.05
10/16/2014,16.18
10/17/2014,16.19
10/20/2014,16.3
10/21/2014,16.78
10/22/2014,17.42
10/23/2014,18.89
10/24/2014,19.47
10/27/2014,18.04
10/28/2014,19
10/29/2014,18.33
10/30/2014,19.09
10/31/2014,18.99
11/3/2014,18.87
11/4/2014,18.21
11/5/2014,17.87
11/6/2014,17.99
11/7/2014,18.04
11/10/2014,18.09
11/11/2014,18.25
11/12/2014,19.09
11/13/2014,18.39
11/14/2014,17.73
11/17/2014,17.66
11/18/2014,17.9
11/19/2014,17.54
11/20/2014,17.6
11/21/2014,17.37
11/24/2014,16.99
11/25/2014,17.52
11/26/2014,18.01
11/28/2014,17.3
12/1/2014,16.08
12/2/2014,16.53
12/3/2014,16.94
12/4/2014,18.01
12/5/2014,18.71
12/8/2014,18.97
12/9/2014,19.9
12/10/2014,19.07
12/11/2014,19.28
12/12/2014,19.99
12/15/2014,19.14
12/16/2014,19.41
12/17/2014,20.34
12/18/2014,19.85
12/19/2014,20.5
12/22/2014,21.1
12/23/2014,20.72
12/24/2014,19.97
12/26/2014,19.92
12/29/2014,19.48
12/30/2014,19.14
12/31/2014,18.55
1/2/2015,18.3
1/5/2015,20.73
1/6/2015,20.23
1/7/2015,19.74
1/8/2015,19.54
1/9/2015,19.28
1/12/2015,18.84
1/13/2015,23.04
1/14/2015,24.52
1/15/2015,23.45
1/16/2015,22.95
1/20/2015,21.29
1/21/2015,21.06
1/22/2015,21.22
1/23/2015,21.38
1/26/2015,20.96
1/27/2015,22
1/28/2015,21.71
1/29/2015,21.6
1/30/2015,21.07
2/2/2015,21.26
2/3/2015,21.24
2/4/2015,21.28
2/5/2015,21.27
2/6/2015,21.31
2/9/2015,21
2/10/2015,22.58
2/11/2015,22.49
2/12/2015,22.6
2/13/2015,23.06
2/17/2015,22.8
2/18/2015,23
2/19/2015,22.95
2/20/2015,22.7
2/23/2015,22.79
2/24/2015,23.38
2/25/2015,23.58
2/26/2015,23.55
2/27/2015,26.41
3/2/2015,28.39
3/3/2015,25.88
3/4/2015,25.06
3/5/2015,25.26
3/6/2015,24.47
3/9/2015,24.14
3/10/2015,23.2
3/11/2015,22.8
3/12/2015,23.97
3/13/2015,23.71
3/16/2015,23.34
3/17/2015,23.69
3/18/2015,23.39
3/19/2015,23.46
3/20/2015,24.15
3/23/2015,25.01
3/24/2015,25.15
3/25/2015,25.58
3/26/2015,25.29
3/27/2015,25.41
3/30/2015,25.7
3/31/2015,25.83
4/1/2015,26.23
4/2/2015,26.32
4/6/2015,25.77
4/7/2015,25.49
4/8/2015,25.31
4/9/2015,26.3
4/10/2015,26.57
4/13/2015,26.3
4/14/2015,26.3
4/15/2015,26.1
4/16/2015,26.17
4/17/2015,26
4/20/2015,26.03
4/21/2015,26.13
4/22/2015,26.1
4/23/2015,26.15
4/24/2015,25.91
4/27/2015,25.91
4/28/2015,26
